time,zone,veh,activation
9360,335,43255,1
9360,335,43258,1
9360,335,43260,1
9360,335,43278,1
9360,335,43282,1
9360,335,43284,1
9360,335,43285,1
9360,335,43294,1
9360,335,43306,1
9360,335,43351,1
9360,335,43354,1
9360,335,43360,1
9360,335,43361,1
9360,335,43363,1
9360,335,43381,1
9360,335,43386,1
9360,335,43387,1
9360,335,43399,1
9360,335,43421,1
9360,335,43424,1
9360,335,43430,1
9360,335,43467,1
9360,335,43478,1
9360,335,43482,1
9360,335,43497,1
9360,335,43502,1
9360,335,43508,1
9360,335,43513,1
9360,335,43537,1
9360,335,43576,1
9360,335,43608,1
9360,335,43634,1
9360,335,43640,1
9360,335,43661,1
9360,335,43663,1
9360,335,43671,1
9360,335,43682,1
9360,335,43699,1
9360,335,43707,1
9360,335,43708,1
9360,335,43745,1
9360,335,43748,1
9360,335,43756,1
9360,335,43784,1
9360,335,43786,1
9360,335,43788,1
9360,335,43790,1
9360,335,43793,1
9360,335,43809,1
9360,335,43832,1
9360,335,43859,1
9360,335,43861,1
9360,335,43863,1
9360,335,43867,1
9360,335,43885,1
9360,335,43899,1
9360,335,43949,1
9360,335,43997,1
9360,335,44012,1
9360,335,44032,1
9360,335,44039,1
9360,335,44062,1
9360,335,44070,1
9360,335,44071,1
9360,335,44079,1
9360,335,44092,1
9360,335,44094,1
9360,335,44115,1
9360,335,44124,1
9360,335,44130,1
9360,335,44158,1
9360,335,44160,1
9360,335,44163,1
9360,335,44161,1
9360,335,44171,1
9360,335,44164,1
9360,335,44175,1
9360,335,44176,1
9360,335,44188,1
9360,335,44191,1
9360,335,44208,1
9360,335,44215,1
9360,335,44217,1
9360,335,44220,1
9360,335,44233,1
9360,335,44238,1
9360,335,44247,1
9360,335,44253,1
9360,335,44254,1
9360,335,44274,1
9360,335,44286,1
9360,335,44295,1
9360,335,44298,1
9360,335,44315,1
9360,335,44320,1
9360,335,44325,1
9360,335,44328,1
9360,335,44335,1
9360,335,44351,1
9360,335,44353,1
9360,335,44365,1
9360,335,44381,1
9360,335,44382,1
9360,335,44384,1
9360,335,44387,1
9360,335,44389,1
9360,335,44391,1
9360,335,44394,1
9360,335,44402,1
9360,335,44427,1
9360,335,44431,1
9360,335,44432,1
9360,335,44433,1
9360,335,44434,1
9360,335,44437,1
9360,335,44450,1
9360,335,44463,1
9360,335,44487,1
9360,335,44488,1
9360,335,44499,1
9360,335,44503,1
9361,335,44513,1
9361,335,44514,1
9364,335,44529,1
9366,335,44540,1
9369,335,44564,1
9370,335,44575,1
9371,335,44581,1
9371,335,44584,1
9372,335,44589,1
9372,335,44590,1
9372,335,44593,1
9373,335,44596,1
9373,335,44599,1
9381,335,44636,1
9385,335,44651,1
9385,335,44657,1
9388,335,44672,1
9389,335,44676,1
9390,335,44680,1
9395,335,44700,1
9396,335,44706,1
